epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.500000000,1.089910525,0.336547664,0.029
1,1.091836844,0.560000000,1.076738146,0.341160974,0.051
2,1.078608171,0.620000000,1.064992436,0.345397810,0.075
3,1.066394506,0.600000000,1.054117710,0.349429439,0.098
4,1.055183338,0.600000000,1.044581711,0.353035010,0.119
5,1.044842616,0.600000000,1.035830156,0.356406649,0.141
6,1.035230133,0.600000000,1.028089188,0.359427238,0.162
7,1.026300799,0.600000000,1.020966448,0.362237161,0.183
