task,mode,seed,episodes,eval_trials,before_greedy,before_expected,after_greedy,after_sampled,after_expected,reversal_greedy,reversal_expected,changed_weights,l1_delta,seconds,before_reversal_expected,reversal_episodes,learning_rate,logit_gain
binary,reward,101,2000,1024,0.66992188,0.50351960,1.00000000,0.99609375,0.99555958,1.00000000,0.99617561,62223,131.39424946,2.762546,0.00433767,2000,0.02,12
binary,frozen,101,2000,1024,0.66992188,0.50351960,0.66992188,0.50683594,0.50351960,0.32421875,0.49656694,0,0.00000000,0.746457,0.49656694,2000,0.02,12
binary,shuffled,101,2000,1024,0.66992188,0.50351960,0.00000000,0.02343750,0.02342436,1.00000000,0.98935497,62261,113.20934464,1.386531,0.97684838,2000,0.02,12
fourway,reward,101,2000,1024,0.40136719,0.24965424,1.00000000,0.98535156,0.98311420,1.00000000,0.98469462,62246,149.49026282,2.490713,0.00539321,2000,0.02,12
fourway,frozen,101,2000,1024,0.40136719,0.24965424,0.40136719,0.24023438,0.24965424,0.01660156,0.24597463,0,0.00000000,0.737412,0.24597463,2000,0.02,12
fourway,shuffled,101,2000,1024,0.40136719,0.24965424,0.00000000,0.11132812,0.11726776,0.50000000,0.42810921,62261,102.74357976,1.595134,0.35818257,2000,0.02,12
xor,reward,101,2000,1024,0.49902344,0.50131352,1.00000000,0.89843750,0.91371247,1.00000000,0.89213947,62261,129.26234773,2.659751,0.08575004,2000,0.02,12
xor,frozen,101,2000,1024,0.49902344,0.50131352,0.49902344,0.47851562,0.50131352,0.50097656,0.49878250,0,0.00000000,0.744899,0.49878250,2000,0.02,12
xor,shuffled,101,2000,1024,0.49902344,0.50131352,0.50000000,0.55761719,0.57927515,0.30273438,0.41594389,62261,98.28675772,1.596892,0.42064513,2000,0.02,12
