epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.096500000,2.313434019,0.099536051,0.244
1,1.880434000,0.787500000,1.687656444,0.195223378,3.193
2,1.636750042,0.795500000,1.583971875,0.219749527,6.205
3,1.567865426,0.799500000,1.533157493,0.233008851,9.204
4,1.532191090,0.795000000,1.509666773,0.239920314,12.191
5,1.512692668,0.789500000,1.492259520,0.245117954,15.189
6,1.499291280,0.795500000,1.480067791,0.248315817,18.177
7,1.490965935,0.794000000,1.469013045,0.251918229,21.179
8,1.481358831,0.791500000,1.468507337,0.251861550,24.170
