epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.095500000,2.311541316,0.099676393,0.253
1,1.972733956,0.514000000,1.893865754,0.176725695,2.763
2,1.895188714,0.506500000,1.864452298,0.185474714,5.260
3,1.882812859,0.511500000,1.853832939,0.189147975,7.762
4,1.877096291,0.525500000,1.856282550,0.186678278,10.261
5,1.874480405,0.504000000,1.856682418,0.189574886,12.760
6,1.873741185,0.524000000,1.859444309,0.186911744,15.283
7,1.872404134,0.484000000,1.872323125,0.186519410,17.780
8,1.874299728,0.514500000,1.858633793,0.188685431,20.274
