task,mode,seed,episodes,eval_trials,before_greedy,before_expected,after_greedy,after_sampled,after_expected,reversal_greedy,reversal_expected,changed_weights,l1_delta,seconds,before_reversal_expected,reversal_episodes,learning_rate
xor,reward,1,2000,256,0.50781250,0.50344291,1.00000000,0.93359375,0.90988918,1.00000000,0.91128255,62261,128.71401705,2.283799,0.09175779,2000,0.02
xor,frozen,1,2000,256,0.50781250,0.50344291,0.50781250,0.43359375,0.50344291,0.48828125,0.49695506,0,0.00000000,0.490974,0.49695506,2000,0.02
xor,shuffled,1,2000,256,0.50781250,0.50344291,0.50000000,0.53125000,0.56146778,0.75000000,0.64614649,62261,88.04495616,1.336555,0.43684412,2000,0.02
xor,reward,2,2000,256,0.57812500,0.50296394,1.00000000,0.88671875,0.89902294,1.00000000,0.91362794,62261,127.49839795,1.532670,0.10228088,2000,0.02
xor,frozen,2,2000,256,0.57812500,0.50296394,0.57812500,0.44531250,0.50296394,0.44921875,0.49879911,0,0.00000000,0.493551,0.49879911,2000,0.02
xor,shuffled,2,2000,256,0.57812500,0.50296394,0.50000000,0.42968750,0.42418942,0.26562500,0.33934042,62261,112.15270701,1.332730,0.57585497,2000,0.02
