task,mode,seed,episodes,eval_trials,before_greedy,before_expected,after_greedy,after_sampled,after_expected,reversal_greedy,reversal_expected,changed_weights,l1_delta,seconds,before_reversal_expected,reversal_episodes,learning_rate
xor,reward,1,2000,256,0.50781250,0.50172486,1.00000000,0.75390625,0.77403849,1.00000000,0.76630089,62261,129.99270976,2.305679,0.22756736,2000,0.02
xor,frozen,1,2000,256,0.50781250,0.50172486,0.50781250,0.43750000,0.50172486,0.48828125,0.49847419,0,0.00000000,0.485283,0.49847419,2000,0.02
xor,shuffled,1,2000,256,0.50781250,0.50172486,0.63671875,0.50000000,0.54845028,0.73046875,0.52397437,62261,84.97143467,1.229453,0.45077793,2000,0.02
xor,reward,2,2000,256,0.57812500,0.50148261,1.00000000,0.74218750,0.76373833,1.00000000,0.76745119,62261,128.43507681,1.602549,0.23769393,2000,0.02
xor,frozen,2,2000,256,0.57812500,0.50148261,0.57812500,0.43750000,0.50148261,0.44921875,0.49939986,0,0.00000000,0.494932,0.49939986,2000,0.02
xor,shuffled,2,2000,256,0.57812500,0.50148261,0.50000000,0.45703125,0.46420467,0.50000000,0.43849319,62261,106.75863330,1.276133,0.53728254,2000,0.02
