task,mode,seed,episodes,eval_trials,before_greedy,before_expected,after_greedy,after_sampled,after_expected,reversal_greedy,reversal_expected,changed_weights,l1_delta,seconds,before_reversal_expected,reversal_episodes,learning_rate,logit_gain
fourway,frozen,103,2000,1024,0.28906250,0.24180416,0.28906250,0.25585938,0.24180416,0.05273438,0.24984700,0,0.00000000,0.737603,0.24984700,2000,0.02,12
fourway,shuffled,103,2000,1024,0.28906250,0.24180416,0.25000000,0.25585938,0.24222053,0.29394531,0.36063665,62261,103.78232900,1.574956,0.19907267,2000,0.02,12
fourway,reward,104,2000,1024,0.24707031,0.24827545,1.00000000,0.98242188,0.98231250,1.00000000,0.98312818,62261,150.81556340,1.669892,0.00591444,2000,0.02,12
fourway,frozen,104,2000,1024,0.24707031,0.24827545,0.24707031,0.24316406,0.24827545,0.25292969,0.26226269,0,0.00000000,0.731402,0.26226269,2000,0.02,12
fourway,shuffled,104,2000,1024,0.24707031,0.24827545,0.00000000,0.06054688,0.07082694,0.00000000,0.12577755,62261,107.98346357,1.578466,0.24104493,2000,0.02,12
fourway,reward,105,2000,1024,0.03613281,0.24304338,1.00000000,0.98242188,0.98491684,1.00000000,0.98321414,62261,152.67095421,1.662712,0.00506963,2000,0.02,12
fourway,frozen,105,2000,1024,0.03613281,0.24304338,0.03613281,0.23437500,0.24304338,0.26855469,0.24522581,0,0.00000000,0.729575,0.24522581,2000,0.02,12
fourway,shuffled,105,2000,1024,0.03613281,0.24304338,0.25000000,0.21582031,0.23021269,0.00000000,0.05287808,62261,93.19092315,1.573326,0.12480971,2000,0.02,12
fourway,reward,106,2000,1024,0.25195312,0.25139468,1.00000000,0.98535156,0.98160822,1.00000000,0.98355771,62252,149.02868136,1.654474,0.00609847,2000,0.02,12
fourway,frozen,106,2000,1024,0.25195312,0.25139468,0.25195312,0.24707031,0.25139468,0.48632812,0.26928192,0,0.00000000,0.738236,0.26928192,2000,0.02,12
fourway,shuffled,106,2000,1024,0.25195312,0.25139468,0.00000000,0.12695312,0.14368925,0.00000000,0.10687338,62261,95.57809979,1.553912,0.38602023,2000,0.02,12
fourway,reward,107,2000,1024,0.00097656,0.23616752,1.00000000,0.98632812,0.98202371,1.00000000,0.98548339,62261,151.59119267,1.640499,0.00586189,2000,0.02,12
