task,mode,seed,episodes,eval_trials,before_greedy,before_expected,after_greedy,after_sampled,after_expected,reversal_greedy,reversal_expected,changed_weights,l1_delta,seconds,before_reversal_expected,reversal_episodes,learning_rate
fourway,shuffled,3,2000,1024,0.04589844,0.24501942,0.50000000,0.49316406,0.49320035,0.25000000,0.24560868,49984,65.42714289,2.136865,0.29757157,10000,0.001
fourway,reward,4,2000,1024,0.28222656,0.25157046,1.00000000,0.98925781,0.99482804,1.00000000,0.99886025,49557,92.49460677,2.141656,0.00165288,10000,0.001
fourway,frozen,4,2000,1024,0.28222656,0.25157046,0.28222656,0.25292969,0.25157046,0.01660156,0.23945681,0,0.00000000,2.136894,0.23945681,10000,0.001
fourway,shuffled,4,2000,1024,0.28222656,0.25157046,0.50000000,0.50390625,0.49831471,0.50000000,0.47916974,49557,67.59616382,2.139268,0.03107565,10000,0.001
fourway,reward,5,2000,1024,0.19140625,0.24796211,1.00000000,0.99511719,0.99568536,1.00000000,0.99875864,49645,93.78743170,2.126907,0.00138863,10000,0.001
fourway,frozen,5,2000,1024,0.19140625,0.24796211,0.19140625,0.25878906,0.24796211,0.39941406,0.26110640,0,0.00000000,2.138895,0.26110640,10000,0.001
fourway,shuffled,5,2000,1024,0.19140625,0.24796211,0.00000000,0.07519531,0.07109572,0.25000000,0.24967497,49645,66.12781680,2.132344,0.26111668,10000,0.001
fourway,reward,6,2000,1024,0.29492188,0.24908520,1.00000000,0.99414062,0.99600047,1.00000000,0.99885649,49729,91.61267474,2.139371,0.00128601,10000,0.001
fourway,frozen,6,2000,1024,0.29492188,0.24908520,0.29492188,0.24804688,0.24908520,0.23242188,0.26498819,0,0.00000000,2.129093,0.26498819,10000,0.001
fourway,shuffled,6,2000,1024,0.29492188,0.24908520,0.50000000,0.45800781,0.46338539,0.25000000,0.25203715,49729,66.33113301,2.137642,0.45402108,10000,0.001
fourway,reward,7,2000,1024,0.11035156,0.23234189,1.00000000,0.99902344,0.99595435,1.00000000,0.99856240,48863,94.90447272,2.160653,0.00132155,10000,0.001
fourway,frozen,7,2000,1024,0.11035156,0.23234189,0.11035156,0.23339844,0.23234189,0.48730469,0.26714317,0,0.00000000,2.121963,0.26714317,10000,0.001
fourway,shuffled,7,2000,1024,0.11035156,0.23234189,0.00097656,0.09960938,0.09250166,0.50000000,0.49756110,48863,60.29589821,2.128850,0.61114501,10000,0.001
fourway,reward,8,2000,1024,0.25292969,0.24584620,1.00000000,0.99707031,0.99555546,1.00000000,0.99875637,49434,94.00200858,2.114497,0.00145171,10000,0.001
fourway,frozen,8,2000,1024,0.25292969,0.24584620,0.25292969,0.25683594,0.24584620,0.23046875,0.23909783,0,0.00000000,2.117118,0.23909783,10000,0.001
fourway,shuffled,8,2000,1024,0.25292969,0.24584620,0.25000000,0.25976562,0.26410819,0.00000000,0.00859313,49434,69.54880716,2.118778,0.03172193,10000,0.001
xor,reward,1,2000,1024,0.50195312,0.50654739,1.00000000,0.99414062,0.99604511,0.50000000,0.49983613,46469,95.86197200,3.750724,0.00403139,10000,0.001
xor,frozen,1,2000,1024,0.50195312,0.50654739,0.50195312,0.48535156,0.50654739,0.49511719,0.49288786,0,0.00000000,2.174382,0.49288786,10000,0.001
xor,shuffled,1,2000,1024,0.50195312,0.50654739,0.50000000,0.54492188,0.55412200,0.00000000,0.02199478,46469,61.08435207,2.122171,0.44614985,10000,0.001
xor,reward,2,2000,1024,0.56445312,0.50518836,1.00000000,0.99511719,0.99626191,0.50000000,0.49981757,47276,97.76634947,2.125017,0.00373486,10000,0.001
xor,frozen,2,2000,1024,0.56445312,0.50518836,0.56445312,0.49316406,0.50518836,0.41308594,0.49424725,0,0.00000000,2.164142,0.49424725,10000,0.001
xor,shuffled,2,2000,1024,0.56445312,0.50518836,0.50000000,0.50292969,0.50409664,0.50000000,0.49630369,47276,64.94978049,2.120679,0.49576660,10000,0.001
xor,reward,3,2000,1024,0.41406250,0.49897413,1.00000000,0.99609375,0.99469900,0.50000000,0.49990358,47076,89.10996857,2.139860,0.00538479,10000,0.001
xor,frozen,3,2000,1024,0.41406250,0.49897413,0.41406250,0.52441406,0.49897413,0.56738281,0.49892077,0,0.00000000,2.125147,0.49892077,10000,0.001
xor,shuffled,3,2000,1024,0.41406250,0.49897413,0.50000000,0.50097656,0.50115998,0.50000000,0.49876707,47076,56.38431149,2.117867,0.49877681,10000,0.001
xor,reward,4,2000,1024,0.64453125,0.51327813,1.00000000,0.99218750,0.99419906,0.50000000,0.49983857,47691,91.74424409,2.126160,0.00596836,10000,0.001
xor,frozen,4,2000,1024,0.64453125,0.51327813,0.64453125,0.51074219,0.51327813,0.35156250,0.48584295,0,0.00000000,2.127000,0.48584295,10000,0.001
xor,shuffled,4,2000,1024,0.64453125,0.51327813,0.50000000,0.49902344,0.49676743,0.50000000,0.50076238,47691,48.59514096,2.121854,0.50418997,10000,0.001
xor,reward,5,2000,1024,0.51367188,0.50574893,1.00000000,0.99707031,0.99517124,0.50000000,0.49972163,46947,94.03844322,2.132042,0.00473224,10000,0.001
xor,frozen,5,2000,1024,0.51367188,0.50574893,0.51367188,0.51562500,0.50574893,0.48242188,0.49504403,0,0.00000000,2.120419,0.49504403,10000,0.001
xor,shuffled,5,2000,1024,0.51367188,0.50574893,0.25000000,0.27734375,0.27289597,0.25000000,0.25450335,46947,58.11327465,2.073567,0.72789864,10000,0.001
xor,reward,6,2000,1024,0.51464844,0.50076234,1.00000000,0.99316406,0.99465551,0.50000000,0.49986106,46864,95.06101579,2.115366,0.00540547,10000,0.001
xor,frozen,6,2000,1024,0.51464844,0.50076234,0.51464844,0.50292969,0.50076234,0.51074219,0.50023647,0,0.00000000,2.124616,0.50023647,10000,0.001
xor,shuffled,6,2000,1024,0.51464844,0.50076234,0.75000000,0.71777344,0.71450188,0.50000000,0.49487891,46864,55.57762408,2.105003,0.28604368,10000,0.001
xor,reward,7,2000,1024,0.52832031,0.50019388,1.00000000,0.99804688,0.99494133,0.50000000,0.49985253,47092,91.56121264,2.111602,0.00511416,10000,0.001
xor,frozen,7,2000,1024,0.52832031,0.50019388,0.52832031,0.49707031,0.50019388,0.45019531,0.49882921,0,0.00000000,2.117117,0.49882921,10000,0.001
xor,shuffled,7,2000,1024,0.52832031,0.50019388,0.75000000,0.70800781,0.71271823,0.50000000,0.50036040,47092,58.01349216,2.125204,0.28717006,10000,0.001
xor,reward,8,2000,1024,0.39453125,0.49408591,1.00000000,0.99609375,0.99381003,0.50000000,0.49991741,47530,90.02786418,2.115699,0.00608546,10000,0.001
xor,frozen,8,2000,1024,0.39453125,0.49408591,0.39453125,0.49121094,0.49408591,0.60839844,0.50594206,0,0.00000000,2.120226,0.50594206,10000,0.001
xor,shuffled,8,2000,1024,0.39453125,0.49408591,0.50878906,0.53320312,0.53999920,0.50000000,0.50050622,47530,51.97329707,2.123670,0.45937271,10000,0.001
