task,mode,seed,episodes,eval_trials,before_greedy,before_expected,after_greedy,after_sampled,after_expected,reversal_greedy,reversal_expected,changed_weights,l1_delta,seconds,before_reversal_expected,reversal_episodes,learning_rate
fourway,reward,1,2000,256,0.49609375,0.26649213,1.00000000,1.00000000,0.99723877,1.00000000,0.99867696,49513,97.86516174,3.510530,0.00101759,10000,0.001
fourway,frozen,1,2000,256,0.49609375,0.26649213,0.49609375,0.26562500,0.26649213,0.00000000,0.23506952,0,0.00000000,1.916841,0.23506952,10000,0.001
fourway,shuffled,1,2000,256,0.49609375,0.26649213,0.25000000,0.28515625,0.27319534,0.25000000,0.24813184,49513,65.27923821,1.934126,0.19590540,10000,0.001
fourway,reward,2,2000,256,0.49218750,0.26013387,1.00000000,0.99609375,0.99637852,1.00000000,0.99902117,50031,94.93253707,1.919464,0.00126345,10000,0.001
fourway,frozen,2,2000,256,0.49218750,0.26013387,0.49218750,0.23828125,0.26013387,0.01562500,0.23125532,0,0.00000000,1.908995,0.23125532,10000,0.001
fourway,shuffled,2,2000,256,0.49218750,0.26013387,0.08593750,0.08593750,0.11188141,0.25000000,0.28427044,50031,63.74557254,1.906671,0.12562264,10000,0.001
