epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.069500000,2.315037019,0.099738644,0.256
1,1.958665599,0.806000000,1.789657847,0.171942108,3.701
2,1.755190225,0.830000000,1.704232922,0.188531161,7.266
3,1.697022116,0.833000000,1.665306098,0.196663347,10.839
4,1.668002364,0.838500000,1.642894822,0.201540159,14.417
5,1.649964615,0.837000000,1.629150126,0.204576244,17.992
6,1.638718603,0.842000000,1.619745701,0.206684687,21.579
7,1.630666008,0.840500000,1.614009841,0.208089150,25.195
8,1.624316670,0.840000000,1.610968213,0.208659461,28.787
9,1.621053378,0.840500000,1.603152904,0.210654331,32.365
10,1.616975728,0.839500000,1.601565100,0.210862739,35.950
11,1.613853586,0.840500000,1.600681098,0.211191369,39.539
