epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.069500000,2.315037019,0.099738644,0.243
1,1.958659020,0.806000000,1.789803932,0.171987556,3.685
2,1.755434579,0.829500000,1.702694236,0.188752921,7.276
3,1.696833821,0.833500000,1.664461581,0.196864746,10.943
4,1.667592002,0.835500000,1.640772124,0.201983781,14.538
5,1.649995558,0.835500000,1.628405240,0.204862157,18.143
6,1.638286087,0.836000000,1.619371961,0.206895050,21.739
7,1.630292438,0.843000000,1.612961132,0.208368496,25.351
8,1.624516880,0.842000000,1.609343677,0.209145722,28.954
9,1.620260559,0.844000000,1.603765429,0.210479138,32.554
10,1.616321667,0.846500000,1.601249708,0.211022406,36.212
11,1.613945367,0.841500000,1.599516470,0.211454999,39.825
12,1.611669580,0.838500000,1.596847858,0.212054101,43.435
13,1.609758584,0.839500000,1.594300076,0.212666853,47.046
14,1.608167743,0.837000000,1.595473552,0.212451472,50.654
15,1.607659325,0.840500000,1.592556873,0.213069309,54.260
