task,mode,seed,episodes,eval_trials,before_greedy,before_expected,after_greedy,after_sampled,after_expected,reversal_greedy,reversal_expected,changed_weights,l1_delta,seconds
binary,reward,1,1000,256,0.98046875,0.55349890,1.00000000,1.00000000,0.99979876,1.00000000,0.99961192,33734,59.28820276,0.578685
binary,frozen,1,1000,256,0.98046875,0.55349890,0.98046875,0.55859375,0.55349890,0.03125000,0.44585324,0,0.00000000,0.355447
binary,shuffled,1,1000,256,0.98046875,0.55349890,0.50000000,0.50000000,0.50105564,0.50000000,0.49925167,33734,89.30043933,0.359729
