epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.102000000,2.323832971,0.099014422,0.245
1,1.922388381,0.726500000,1.729332599,0.186462993,3.180
2,1.689194225,0.726500000,1.624150333,0.209577796,6.215
3,1.618636964,0.732500000,1.574487495,0.221139013,9.239
4,1.582658630,0.734000000,1.548447279,0.227846512,12.268
5,1.560063153,0.740500000,1.528005294,0.232886213,15.303
6,1.544131839,0.740000000,1.516835385,0.235561860,18.339
7,1.533982435,0.741500000,1.502682424,0.239531522,21.372
8,1.524923565,0.742500000,1.497952414,0.240919750,24.405
9,1.519495469,0.746500000,1.490834942,0.242910802,27.472
10,1.513523498,0.743000000,1.487313651,0.243866471,30.521
11,1.510235690,0.745500000,1.481703064,0.245205272,33.543
12,1.506797082,0.744500000,1.479196179,0.246150972,36.575
13,1.503415701,0.745500000,1.475670673,0.246871908,39.605
14,1.501224263,0.747500000,1.474996213,0.247241522,42.638
15,1.500332627,0.743000000,1.470635401,0.248753258,45.669
16,1.498076294,0.745000000,1.471357747,0.248184077,48.708
17,1.496500686,0.746000000,1.469474123,0.249035796,51.742
18,1.495438736,0.745000000,1.467245851,0.249447444,54.779
19,1.494620642,0.745000000,1.466115775,0.249805619,57.820
