task,mode,seed,episodes,eval_trials,before_greedy,before_expected,after_greedy,after_sampled,after_expected,reversal_greedy,reversal_expected,changed_weights,l1_delta,seconds
fourway,reward,1,2000,256,0.49609375,0.26649213,1.00000000,1.00000000,0.99723877,0.00000000,0.00693368,49513,97.86516174,1.044039
fourway,frozen,1,2000,256,0.49609375,0.26649213,0.49609375,0.26562500,0.26649213,0.00000000,0.23506952,0,0.00000000,0.667226
fourway,shuffled,1,2000,256,0.49609375,0.26649213,0.25000000,0.28515625,0.27319534,0.25000000,0.26231820,49513,65.27923821,0.675476
fourway,reward,2,2000,256,0.49218750,0.26013387,1.00000000,0.99609375,0.99637852,0.50000000,0.49473736,50031,94.93253707,0.671406
fourway,frozen,2,2000,256,0.49218750,0.26013387,0.49218750,0.23828125,0.26013387,0.01562500,0.23125532,0,0.00000000,0.651018
fourway,shuffled,2,2000,256,0.49218750,0.26013387,0.08593750,0.08593750,0.11188141,0.50000000,0.40806982,50031,63.74557254,0.648434
