epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.081500000,2.334330604,0.098303040,0.250
1,1.676155187,0.766000000,1.267059347,0.314701994,2.145
2,1.117324690,0.814000000,0.938638298,0.446449061,4.053
3,0.894993418,0.821000000,0.780748912,0.526805633,5.954
4,0.777699196,0.830000000,0.690356878,0.577256846,7.870
5,0.705207509,0.838000000,0.630438685,0.612398891,9.788
6,0.655466839,0.844000000,0.588172103,0.637823422,11.694
7,0.618711612,0.846500000,0.557298566,0.657952755,13.602
8,0.590363958,0.848500000,0.532946972,0.673130662,15.511
9,0.567590062,0.851000000,0.513935948,0.685688344,17.416
10,0.549096869,0.855000000,0.498006657,0.696523064,19.324
11,0.533244521,0.858500000,0.484532014,0.704818661,21.233
12,0.519802175,0.861500000,0.472885820,0.712053713,23.146
13,0.507921551,0.860500000,0.463192288,0.718903132,25.062
14,0.497554039,0.863500000,0.454406098,0.724558201,26.961
15,0.488214606,0.866500000,0.447266428,0.729346948,28.856
16,0.479801198,0.862000000,0.440611657,0.734823311,30.745
17,0.472340849,0.868500000,0.434691722,0.738456138,32.635
18,0.465456548,0.869500000,0.429225918,0.742322109,34.540
19,0.459019578,0.869000000,0.424171471,0.745645254,36.454
20,0.453241260,0.867500000,0.419655015,0.749429532,38.362
21,0.447759694,0.871500000,0.415587857,0.751882302,40.269
22,0.442764945,0.870500000,0.412122982,0.754834564,42.180
23,0.437796764,0.873000000,0.408524233,0.756796237,44.096
24,0.433482384,0.872500000,0.405421701,0.759224883,46.010
25,0.429381745,0.872000000,0.402470356,0.761656134,47.920
26,0.425399124,0.872500000,0.399405001,0.764018509,49.826
27,0.421643289,0.873500000,0.397378465,0.765205138,51.721
28,0.418085833,0.873500000,0.394462628,0.767245361,53.597
29,0.414675790,0.873000000,0.392659860,0.768096193,55.466
30,0.411379442,0.874000000,0.390271938,0.769852005,57.327
31,0.408448915,0.876000000,0.387973737,0.772177110,59.192
32,0.405307679,0.874500000,0.386693757,0.774007200,61.014
33,0.402684623,0.876500000,0.384272055,0.774753300,62.832
34,0.399865121,0.876500000,0.382757960,0.776300350,64.701
35,0.397294086,0.876000000,0.381577061,0.777936580,66.586
36,0.394847139,0.877000000,0.379926184,0.778282710,68.476
37,0.392322254,0.874500000,0.378372462,0.779222627,70.369
38,0.390104313,0.876000000,0.376714878,0.781000219,72.253
39,0.387621666,0.877000000,0.375431334,0.781862042,74.147
40,0.385530574,0.876500000,0.374301411,0.782532699,76.022
41,0.383438850,0.873500000,0.373388385,0.783010700,77.886
42,0.381355530,0.872000000,0.372375699,0.783600036,79.751
43,0.379415862,0.875000000,0.371049129,0.785692186,81.617
44,0.377497458,0.875000000,0.369597247,0.785966590,83.487
45,0.375540680,0.877000000,0.368373680,0.787258751,85.366
46,0.373757046,0.877000000,0.367690360,0.787767694,87.272
47,0.372021784,0.876000000,0.366580926,0.788608442,89.175
48,0.370225895,0.878500000,0.365856605,0.789761214,91.052
49,0.368374017,0.874500000,0.365370915,0.789277636,92.922
50,0.366778716,0.881000000,0.364484690,0.791083582,94.789
51,0.365115889,0.878500000,0.363839995,0.791998395,96.684
52,0.363672823,0.875500000,0.362698832,0.791859223,98.600
53,0.362190869,0.876500000,0.361537991,0.792459346,100.518
54,0.360609101,0.880000000,0.360802885,0.793463625,102.430
55,0.359161213,0.877500000,0.360121075,0.793914979,104.346
56,0.357696499,0.877000000,0.359761178,0.794238696,106.253
57,0.356323301,0.876000000,0.358548193,0.794668053,108.129
58,0.354834103,0.876500000,0.358192659,0.795435618,110.005
59,0.353632815,0.877500000,0.357567923,0.795882361,112.016
60,0.352145174,0.878500000,0.356852286,0.796528060,113.900
