epoch,train_cross_entropy,validation_accuracy,validation_cross_entropy,validation_correct_probability,elapsed_seconds
0,,0.069500000,2.315037019,0.099738644,0.249
1,1.800958921,0.809500000,1.435339857,0.259395946,2.414
2,1.249245860,0.880500000,1.064958224,0.379901556,4.581
3,0.963922638,0.905500000,0.851558878,0.469826284,6.757
4,0.789951066,0.924000000,0.714519303,0.535397780,8.936
5,0.673099181,0.934500000,0.619230573,0.584551741,11.105
6,0.588995436,0.939000000,0.548734107,0.623001182,13.264
7,0.525320055,0.947000000,0.494689770,0.653626022,15.419
8,0.475419864,0.951500000,0.451429273,0.679067441,17.582
9,0.434998458,0.955000000,0.416164703,0.700289785,19.744
10,0.401654712,0.958500000,0.386649513,0.718459184,21.920
11,0.373476724,0.960500000,0.361588242,0.734304435,24.096
12,0.349424889,0.965000000,0.340097572,0.747873801,26.271
13,0.328610842,0.967500000,0.321366689,0.759993348,28.446
14,0.310364951,0.969000000,0.304956067,0.770736431,30.627
15,0.294255804,0.971500000,0.290385270,0.780380117,32.805
16,0.279930196,0.973500000,0.277461493,0.789047707,35.021
17,0.267081181,0.974500000,0.265751613,0.796969939,37.256
18,0.255455995,0.974500000,0.255304566,0.804137152,39.462
19,0.244933309,0.976500000,0.245774797,0.810627578,41.660
20,0.235339154,0.977000000,0.236971239,0.816710497,43.849
21,0.226529274,0.977000000,0.229037736,0.822282547,46.019
22,0.218429962,0.977500000,0.221632113,0.827437951,48.192
23,0.210955611,0.978500000,0.214847590,0.832243983,50.371
24,0.204028984,0.979000000,0.208304836,0.836915292,52.584
25,0.197583133,0.979500000,0.202474133,0.841061838,54.755
26,0.191599398,0.980000000,0.196983241,0.845005022,56.947
27,0.185977685,0.980000000,0.191798388,0.848719952,59.122
28,0.180726795,0.981000000,0.186961149,0.852224309,61.313
29,0.175790175,0.981000000,0.182451043,0.855492303,63.494
30,0.171151947,0.981500000,0.178182360,0.858594524,65.683
31,0.166759339,0.982500000,0.174120760,0.861588982,67.882
32,0.162628792,0.982000000,0.170329178,0.864357546,70.083
33,0.158711417,0.982000000,0.166676406,0.867035704,72.292
34,0.155003160,0.982500000,0.163407756,0.869465640,74.494
35,0.151484839,0.983500000,0.160030642,0.871974041,76.690
36,0.148136369,0.984500000,0.156968570,0.874248312,78.866
37,0.144953886,0.984500000,0.154011800,0.876457030,81.038
38,0.141903646,0.985000000,0.151188806,0.878564555,83.210
39,0.139012049,0.984500000,0.148586662,0.880519151,85.391
40,0.136242988,0.985000000,0.145957059,0.882488019,87.576
41,0.133593349,0.985000000,0.143521402,0.884309746,89.742
42,0.131055870,0.986500000,0.141147902,0.886118054,91.875
43,0.128616419,0.986500000,0.138917508,0.887799802,94.016
44,0.126289556,0.987000000,0.136821534,0.889399429,96.149
45,0.124045965,0.987000000,0.134697417,0.891011691,98.309
46,0.121886044,0.987000000,0.132730759,0.892514786,100.432
47,0.119816775,0.987000000,0.130794630,0.893987801,102.568
48,0.117814009,0.987000000,0.128932912,0.895419843,104.699
49,0.115895858,0.987000000,0.127153872,0.896776761,106.856
50,0.114040385,0.987000000,0.125458166,0.898071211,108.990
51,0.112235734,0.988000000,0.123797421,0.899353794,111.106
52,0.110514030,0.988000000,0.122225765,0.900565373,113.234
53,0.108845254,0.988500000,0.120581741,0.901823152,115.378
54,0.107225204,0.988500000,0.119078627,0.902981091,117.495
55,0.105658821,0.988500000,0.117650253,0.904099031,119.634
56,0.104135167,0.988500000,0.116270558,0.905165354,121.793
57,0.102676659,0.988500000,0.114875119,0.906235015,123.940
58,0.101254292,0.989000000,0.113568404,0.907258879,126.110
59,0.099871095,0.989000000,0.112279373,0.908257743,128.262
60,0.098534593,0.989500000,0.111015416,0.909246165,130.418
61,0.097234197,0.989500000,0.109847889,0.910157074,132.549
62,0.095964543,0.989500000,0.108671729,0.911066510,134.665
63,0.094740577,0.989500000,0.107477893,0.912000659,136.786
64,0.093551717,0.990000000,0.106394678,0.912850645,138.931
65,0.092391392,0.990000000,0.105285700,0.913715309,141.097
66,0.091257599,0.990000000,0.104227328,0.914543506,143.241
67,0.090155279,0.990000000,0.103221991,0.915336033,145.399
68,0.089088322,0.990000000,0.102227116,0.916116015,147.552
69,0.088038203,0.990000000,0.101265498,0.916876992,149.693
70,0.087026634,0.990000000,0.100297241,0.917626499,151.831
71,0.086033982,0.990000000,0.099383333,0.918344050,153.999
72,0.085064258,0.990000000,0.098464128,0.919070914,156.145
73,0.084122718,0.990000000,0.097576817,0.919763372,158.312
74,0.083203180,0.990000000,0.096706748,0.920450466,160.469
75,0.082307144,0.990000000,0.095870144,0.921118479,162.631
